Observer,Transect_number,Observer_Transect_number,PointID,Date,latitude,longitude,Location,BAWA_pre_abs,Elevation,LiveM,LiveY,DiscM,DiscY,Snags,Tree_height_average,Girth_average,Understorey_category,Understorey_height_category,Thatch_palm_height_category,Wind_damage,Fire_disturbance
MG,20,10,10D,01/05/2018,26.64608984,-78.53233914,LE,0,8,11,0,0,0,5,17,55,3,1,1,1,2
DP,21,11,11A,01/05/2018,26.63643333,-78.54481667,LE,1,5,11,4,0,0,0,19,59,2,1,2,0,3
DP,21,11,11B,01/05/2018,26.63466667,-78.5443,LE,0,7,12,4,0,0,1,18,44,2,1,2,0,2
DP,21,11,11C,21/06/2018,26.63495447,-78.54244262,LE,1,18,6,4,2,0,0,13,41,2,1,2,0,3
DP,21,11,11D,21/06/2018,26.63669015,-78.54261374,LE,1,9,5,3,0,1,0,16,56,2,1,2,0,3
MG,22,11,11A,01/05/2018,26.63563333,-78.5471,LE,0,5,28,0,0,0,0,14,57,3,1,2,0,2
MG,22,11,11B,01/05/2018,26.63371667,-78.54621667,LE,0,6,12,0,1,0,1,15,42,3,1,2,1,2
MG,22,11,11C,21/06/2018,26.63466667,-78.54896667,LE,0,9,11,2,0,2,3,16,56,2,1,2,0,3
MG,22,11,11D,21/06/2018,26.63281667,-78.54788333,LE,0,6,7,5,1,15,2,15,47,2,1,2,0,3
DP,23,12,12A,03/05/2018,26.58932319,-78.53432377,LE,0,4,9,10,4,0,0,9,44,5,2,2,0,0
DP,23,12,12B,03/05/2018,26.5906287,-78.53328863,LE,0,14,14,15,0,0,0,11,50,5,2,2,0,0
DP,23,12,12C,03/05/2018,26.59228934,-78.53407202,LE,0,9,16,0,0,0,1,12,52,5,2,2,1,0
DP,23,12,12D,03/05/2018,26.59187829,-78.53566695,LE,0,2,8,5,2,0,0,17,55,4,1,1,0,1
MG,24,12,12A,03/05/2018,26.59,-78.53088333,LE,1,11,24,1,0,0,1,13,47,4,2,2,0,0
MG,24,12,12B,03/05/2018,26.5915,-78.53256667,LE,0,9,18,13,2,0,0,10,35,4,2,2,0,0
MG,24,12,12C,03/05/2018,26.59131667,-78.52968333,LE,0,10,16,18,0,0,0,12,47,4,2,2,1,0
MG,24,12,12D,03/05/2018,26.59235,-78.53125,LE,0,8,26,15,1,0,0,12,44,5,2,2,0,1
DP,25,13,13A,03/05/2018,26.5948516,-78.51454525,LE,1,6,10,7,0,0,5,12,36,1,1,1,0,4
DP,25,13,13B,06/05/2018,26.59601667,-78.51315,LE,1,9,8,10,0,0,0,13,41,1,1,1,0,4
DP,25,13,13C,06/05/2018,26.59715344,-78.51408202,LE,1,8,17,1,0,0,1,15,55,1,1,1,0,4
DP,25,13,13D,06/05/2018,26.59685,-78.51561667,LE,1,4,5,3,0,0,0,16,56,1,1,2,0,3
MG,26,13,13A,03/05/2018,26.59374117,-78.51278028,LE,1,8,23,5,0,0,0,11,42,1,1,2,0,4
MG,26,13,13B,06/05/2018,26.59569652,-78.51133494,LE,1,6,13,0,1,0,0,16,57,1,1,2,1,4
MG,26,13,13C,06/05/2018,26.59652182,-78.51041344,LE,0,12,23,1,1,0,1,16,37,1,1,2,0,4
MG,26,13,13D,06/05/2018,26.59497132,-78.50874096,LE,0,11,21,0,1,0,1,11,39,1,1,1,0,4
DP,27,14,14A,07/05/2018,26.59586667,-78.47386667,LE,1,11,7,0,0,0,8,9,43,2,2,2,0,3
DP,27,14,14B,07/05/2018,26.59653333,-78.4726,LE,0,13,9,4,2,0,1,8,48,6,2,2,0,1
DP,27,14,14C,07/05/2018,26.59405,-78.47351667,LE,0,8,6,5,0,0,1,13,50,1,2,2,2,4
DP,27,14,14D,07/05/2018,26.59445,-78.47193333,LE,1,13,6,0,0,0,0,13,86,6,2,2,0,0
MG,28,14,14A,07/05/2018,26.59833333,-78.47188333,LE,0,9,9,3,0,0,0,13,59,5,2,2,1,2
MG,28,14,14B,07/05/2018,26.59751667,-78.47385,LE,0,13,7,1,0,0,0,13,72,1,1,2,1,4
MG,28,14,14C,07/05/2018,26.60027286,-78.47033304,LE,1,12,11,1,1,0,0,12,49,5,2,2,1,2
MG,28,14,14D,07/05/2018,26.60108333,-78.47221667,LE,0,12,8,0,0,0,1,15,79,4,2,2,0,2
DP,29,15,15A,08/05/2018,26.6526,-78.48988333,LE,1,8,11,4,1,0,2,20,57,3,2,2,0,2
DP,29,15,15B,08/05/2018,26.65271667,-78.48788333,LE,0,13,7,2,11,0,6,21,60,3,1,2,0,2
DP,29,15,15C,08/05/2018,26.65498131,-78.49006632,LE,1,9,9,2,3,0,1,22,74,3,1,2,0,2
DP,29,15,15D,08/05/2018,26.65514413,-78.48838116,LE,0,6,5,5,0,0,3,25,66,3,2,2,0,2
MG,30,15,15A,08/05/2018,26.6504757,-78.48755371,LE,1,12,12,0,2,0,3,16,54,3,1,2,2,2
MG,30,15,15B,08/05/2018,26.65207053,-78.48642569,LE,1,13,14,0,0,0,6,17,48,3,1,2,1,2
MG,30,15,15C,08/05/2018,26.64921667,-78.48555,LE,1,14,17,0,0,0,1,17,67,3,1,2,1,2
MG,30,15,15D,08/05/2018,26.65091667,-78.48473333,LE,0,7,17,0,1,0,6,17,49,3,1,1,2,2
DP,31,16,16A,08/05/2018,26.65961667,-78.46188333,LE,0,8,10,3,1,0,1,27,59,4,1,2,2,3
DP,31,16,16B,08/05/2018,26.65856667,-78.4635,LE,0,8,4,0,0,0,0,19,48,4,1,2,2,3
DP,31,16,16C,08/05/2018,26.65774456,-78.46063425,LE,0,6,12,0,5,0,5,27,62,4,1,2,2,3
DP,31,16,16D,25/06/2018,26.65691954,-78.46225502,LE,0,7,3,2,0,0,5,11,37,2,1,2,2,3
MG,32,16,16A,08/05/2018,26.66205,-78.46313333,LE,0,5,1,25,0,3,2,7,19,4,2,1,0,2
MG,32,16,16B,08/05/2018,26.66058333,-78.46538333,LE,0,5,0,15,0,0,0,4,32,3,1,2,0,2
MG,32,16,16C,08/05/2018,26.66511667,-78.46375,LE,0,7,14,0,0,0,1,14,40,3,1,2,0,3
MG,32,16,16D,25/06/2018,26.66395,-78.46545,LE,0,6,0,22,0,1,1,6,26,3,2,2,2,3
DP,33,17,17A,10/05/2018,26.66455,-77.92213333,EE,0,3,10,3,0,0,0,12,57,7,2,2,0,0
DP,33,17,17B,10/05/2018,26.66374654,-77.9250023,EE,0,3,0,15,0,0,0,9,39,3,2,1,0,0
MG,33,17,17A,10/05/2018,26.66456667,-77.91911667,EE,0,6,36,3,1,0,0,12,47,7,2,2,0,0
MG,33,17,17B,10/05/2018,26.66488333,-77.9169,EE,0,5,23,3,0,1,2,11,47,6,2,2,1,0
DP,34,18,18A,10/05/2018,26.66063764,-77.94409697,EE,0,5,0,6,3,0,1,9,52,5,2,2,0,0
